Job title,Company name,Date,Location,Skills,Links,Salary,Requirements
Senior Software Engineer (Backend - Python),Nana,1 month ago,"Sheraton, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Python · Computer Science · Software · SQL · Git · API · REST · Django · Frappe · Flask,https://wuzzuf.net/jobs/p/wdCCzZO1Iega-Senior-Software-Engineer-Backend---Python-Nana-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,"Confidential, Social & Medical Insurance","3+ years of programming experience building and maintaining services, most of them in Python.| Passion. Be passionate about creating clean, highly maintainable, and structured code, supported by unit and integration tests.| System Design, Design patterns & Software Architecture.| SQL / NoSQL databases and Database architecture skills.| Working with and building REST-full API's.| Knowledge of Git.| Troubleshooting. You're good at identifying the source of bugs, know how to dig into the code that may be causing the outstanding issue, and work to resolve any issues that come up.| Curiosity. You're keen on learning new technologies and tools as well as evaluating their pros and cons. You're a pragmatic programmer. You ask questions and are hungry to learn more."
Python Developer,EBE,1 month ago,"Dokki, Giza, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Software Development · Python · Information Technology (IT) · Computer Science · javaScript · HTML5 · Django · CSS3 · jQuery · Flask,https://wuzzuf.net/jobs/p/3WwdAYoXa3j8-Python-Developer-EBE-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Very good command of English Language Teamwork spirit and good communication skills.| Solid experience with Python Mandatory Knowledge of Python Web Framework such as Django (Flask is optional).| Familiarity with some ORM (Object Relational Mapper) libraries Basic understanding of front-end technologies, such as JavaScript, jQuery, HTML5, and CSS3 Able to integrate multiple data sources and databases into one system| Understanding of the threading limitations of Python, and multi-process architecture| Understanding of accessibility and security compliance| Knowledge of user authentication and authorization between multiple systems, servers, and environments| Good experience to create Rest API to Mobile App More than 2 years of experience"
Python Developer,LavaLoon,1 month ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Python · Software Development · Information Technology (IT) · Computer Science · javaScript · HTML · Django · ORM · ERP · HTML5,https://wuzzuf.net/jobs/p/752I7AL3OM4A-Python-Developer-LavaLoon-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Very good command of English Language| Teamwork spirit and good communication skills.| Solid experience with Python| Knowledge of at least one Python Web Framework such as Django, Flask, etc.| Familiarity with some ORM (Object Relational Mapper) libraries| Basic understanding of front-end technologies, such as JavaScript, jQuery, HTML5, and CSS3| Able to integrate multiple data sources and databases into one system| Understanding of the threading limitations of Python, and multi-process architecture| Understanding of accessibility and security compliance| Knowledge of user authentication and authorization between multiple systems, servers, and environments| Good experience to create Rest API to Mobile App| More than 2 years of experience"
Python Developer - Blender,Confidential -,1 month ago,"Dokki, Giza, Egypt ",Part timeFreelance / ProjectWork from homeEntry Level · 1+ Yrs of Exp · Python · Blender · Blender Scripts · Computer Science · Computer Engineering · Information Technology (IT) · Medical Applications · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/T2oxzrzxxJ2e-Python-Developer---Blender-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,"Confidential, Medical Insurance",Proficiency in python.
Software Automation Engineer,Flairstech,1 month ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Information Technology (IT) · Computer Science · Software Testing · Automation · Testing · Software · Python · Selenium · Automation Testing · Programming,https://wuzzuf.net/jobs/p/rejx7AANLAfU-Software-Automation-Engineer-Flairstech-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Degree/diploma in Computer Science or equivalent.| Solid knowledge of  Python programming language.| Solid knowledge of formal test theory, software metrics, test methodology.| Experience with White or Selenium automation testing is an asset.| Experience with server platforms is an asset.| Strong analytical skills.| Strong communication skills.| Proven attention to detail.| Strong troubleshooting skills.| Ability to manage multiple tasks in a fast-paced environment.| Knowledge of VOIP systems, call center solutions, and CRM platforms preferred."
Desktop Application Developer,Fruitful Solutions,3 days ago,"New Nozha, Cairo, Egypt ",Full timeEntry Level · 0 - 7 Yrs of Exp · C++ · QT · javaScript · C · HTML · SQL · XML · Design · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/bFlFcrbB81tN-Desktop-Application-Developer-Fruitful-Solutions-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Strong experience in C, C++, and Python. | Strong experience in C++ desktop application frameworks such as Qt Creator, Visual Studio …etc. | Experience with using software development tools and methods (source control, unit testing, bug tracking, continuous integration …etc). | Concrete understanding of object-oriented design and programming. | Strong experience in MySQL and SQL Server databases. | Expertise in HTML, XML, JavaScript, and JQuery. | Solid expertise with GIT or equivalent source control system. | Solid expertise in Linux. | Good knowledge of business processes. | Solid experience with ORM (Object Relational Mapper) libraries such as SQL Alchemy. | Able to integrate multiple data sources/databases into one system. | Good understanding of accessibility and security compliance. | Solid knowledge of user authentication and authorization between multiple systems, servers, and environments. | Solid experience of design principles behind a scalable application, data structure, APIs. | Good English-written and oral communication. | Fresh graduates and zero experience applicants will go through an internship before being accepted in the position. "
Senior Odoo Development Specialist,Smart IT,1 hour ago,"Nasr City, Cairo, Egypt ",Full timePart timeExperienced · 3 - 5 Yrs of Exp · Information Technology (IT) · Odoo · Computer Science · Python · PostgreSQL · javaScript · HTML · Software Development · Django · GIT,https://wuzzuf.net/jobs/p/jmJq6bx8pNSG-Senior-Odoo-Development-Specialist-Smart-IT-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Strong expertise in Python and Odoo| Strong expertise in Python web framework such as Django, Flask, etc.| Concrete understanding of object oriented design and programming| Expertise in PostgreSQL database| Expertise in HTML, XML, JavaScript, and JQuery| Solid expertise with GIT or equivalent source control system| Expertise in Odoo integrations with other cloud systems| Good knowledge of business processes| Solid experience with ORM (Object Relational Mapper) libraries such as SQL Alchemy| Able to integrate multiple data sources/databases into one system| Good understanding of Python threading limitations and multi-process architecture| Good understanding of accessibility and security compliance| Solid knowledge of user authentication and authorization between multiple systems, servers, and environments| Solid experience of design principles behind a scalable application, data structure, APIs in Odoo| Technical and Functional knowledge of Odoo modules and features"
"Full Stack Developer - (Python, Django, React)",Centrivision Software,2 days ago,"Zamalek, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Software Development · Linux · javaScript · Django · Python · CSS · HTML · Software Engineering · REST APIs · Information Technology (IT),https://wuzzuf.net/jobs/p/E2Iev5D4MypW-Full-Stack-Developer---Python-Django-React-Centrivision-Software-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Candidate must have at least 2 years of solid web development experience in Django projects.| Must have experience working with Git repositories.| Must have experience working with Django REST APIs| Must have experience working with HTML/JavaScript/CSS/Template Languages| Must have experience working with REACT JS| Preferred knowledge of REACT Native| Knowledge of Pandas/Numpy libraries| Must have experience working with Linux OS| Self-learner| Self-motivated
Odoo Developer,2s Home Wear,1 day ago,"New Cairo, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Computer Science · Information Technology (IT) · Odoo · Python · HTML · PostgreSQL · XML · Linux · Engineering · CSS,https://wuzzuf.net/jobs/p/bldo25V9ctRY-Odoo-Developer-2s-Home-Wear-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb,"10,000 to 15,000 EGP per month","Bachelor's degree in Engineering or computer science or any equivalent major.| 1- 3 years of work experience.| Expertise in PostgreSQL database.| Strong expertise in Python, CSS, HTML, XML,JS and JQuery.| Good expertise with linux OS for developing and maintaining purposes.| Previous Work Experience in the same role."
Python Django Developer,Centrivision Software,4 days ago,"Zamalek, Cairo, Egypt ",Full timeStudent · 2+ Yrs of Exp · Software Development · Linux · javaScript · Django · Python · CSS · HTML · Software Engineering · REST APIs · Information Technology (IT),https://wuzzuf.net/jobs/p/b3909HECZHqU-Python-Django-Developer-Centrivision-Software-Cairo-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Candidate must have at least 2 years of solid web development experience in Django projects.| Must have experience working with Git repositories.| Must have experience working with Django REST APIs| Must have experience working with HTML/JavaScript/CSS/Template Languages| Knowledge of Pandas/Numpy libraries| Must have experience working with Linux OS| Self-learner| Self-motivated
Software Engineer,Paymob Solutions,3 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript · Web Services · ReactJS,https://wuzzuf.net/jobs/p/19PY6KJNs7tO-Software-Engineer-Paymob-Solutions-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb,Confidential, Solid experience as Python Developer| Experience with Python framework Django| Experience with Amazon Web Services (AWS) | Solid experience of databases and SQL| Experience with PostgreSQL| Knowledge of JavaScript and the ReactJS framework is a plus
Junior Data Scientist,Premier Services and Recruitment,2 days ago,"Downtown, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Data Science · Data Scientist · AI · Machine Learning · Information Technology (IT) · Computer Science · Engineering · Python · SQL · javaScript,https://wuzzuf.net/jobs/p/pS4lWq5OmOXE-Junior-Data-Scientist-Premier-Services-and-Recruitment-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Numeric background (degree or equivalent, Masters preferred)| Some business experience| Strong willingness to learn and can-do attitude | Some ability to code (Python or R required, SQL and JS preferred)| Some experience with social listening and NLP tools| Some ability to devise statistical/econometric/machine learning models| Experience driving business value from consumer insight| Experience with visualization tools (Tableau, Qlik, D3 or equivalent) | Some experience with consumer goods data sets| Passion for the social and digital world and its implications for business"
Odoo Developer,E3mel Business for Financial & Managerial Consultancy,2 days ago,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Computer Science · Information Technology (IT) · Python · Software Development · Odoo · Software · SCRUM · Communication Skills · Development · CSS,https://wuzzuf.net/jobs/p/2dunlV9GRE5i-Odoo-Developer-E3mel-Business-for-Financial-Managerial-Consultancy-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"1-3 years of experience in odoo is a MUST .| Excellent computer proficiency (text processing - presenting).| SCRUM and agile software development familiarity.| Business background is plus| Very Good English (written & spoken).| Very Good verbal and written communication skills, including ability to effectively communicate with internal and external clients.| Fast learning.| Ability to work independently and to carry out assignments to completion within parameters of instructions given, prescribed routines, and standard accepted practices.| Good problem solving| Python, PostgreSQL| HTML, CSS, JS| Males ONLY"
Data Scientist,B.Tech,2 days ago,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Information Technology (IT) · Software Engineering · MySQL · SQL · Python · Mathematics · Statistics · Computer Science · Data Science · IT/Software Development,https://wuzzuf.net/jobs/p/HCrq9dQjE0Jp-Data-Scientist-B-Tech-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Graduation: Bachelor’s in Computer Science, Statistics, Mathematics or relevant field.| Education: Acquaintance with using statistical computer languages and querying databases with (R, Python, SQL, MySQL etc.) to manipulate data and draw insights from large data sets.| Years of experience: 1 ~ 2 years."
DevOps Engineer,Pickdevs Ltd,7 days ago,"Cairo, Egypt ",Full timeWork from homeExperienced · 5 - 10 Yrs of Exp · DevOps · Centos · Linux · Nginx · Apache · CI/CD · AWS · DigitalOcean · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/OPB9wGaA89aI-DevOps-Engineer-Pickdevs-Ltd-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Strong knowledge in Linux Administration and configuration (CentOs or RedHat)| Strong knowledge in installing and configuring Nginx, Apache, Memcache, Varnish and Redis| Good understanding of Docker environments| Bonus for candidates with experience in Digital Ocean| CI/CD delivery both on premise and in the cloud| Experience of AWS or other relevant or similar cloud platform| Bonus for programming and scripting skills (bash, python, puppet)| Very good communication and English language skills"
